ITEM_ID,STORE_ID,PRICE,APPROVED_BY
1333,1000,86.56,yoda
3318,1000,28.94,yoda
9638,1000,88.58,mario
7749,1000,30.57,yoda
8437,1000,32.96,admin
6300,1000,16.25,mario
2892,1000,43.9,mario
3304,1000,63.21,cat
6002,1000,31.24,admin
7461,1000,74.84,admin
2469,1000,97.0,cat
2242,1000,79.44,alien
4656,1000,21.56,yoda
3337,1000,87.93,admin
6689,1000,7.82,yoda
6845,1000,93.82,yoda
5091,1000,56.0,cat
6159,1000,59.72,mario
2499,1000,50.6,mario
1071,1000,11.49,yoda
4184,1000,36.22,alien
2070,1000,74.1,alien
8529,1000,37.7,alien
5708,1000,0.3,admin
3332,1000,22.77,yoda
1416,1000,21.12,admin
1453,1000,0.29,cat
2807,1000,27.03,cat
8537,1000,13.91,alien
2597,1000,27.15,mario
3436,1000,34.73,alien
3320,1000,46.64,admin
8802,1000,56.14,alien
4479,1000,69.14,mario
5008,1000,13.9,yoda
7820,1000,49.1,alien
9080,1000,87.36,alien
8997,1000,13.58,yoda
2637,1000,35.95,yoda
9994,1000,33.93,alien
3274,1000,45.32,mario
2965,1000,97.63,alien
9441,1000,24.96,alien
8194,1000,68.41,cat
2511,1000,58.2,admin
5634,1000,46.97,yoda
9044,1000,38.67,admin
3897,1000,93.56,alien
1455,1000,32.1,cat
6803,1000,71.15,cat
6304,1000,86.05,cat
6066,1000,81.61,cat
3220,1000,51.51,yoda
2859,1000,43.51,alien
7264,1000,87.56,alien
7099,1000,13.46,cat
1492,1000,91.4,mario
9914,1000,76.04,admin
8964,1000,98.51,admin
7828,1000,91.53,alien
1801,1000,17.35,alien
6761,1000,16.59,yoda
2280,1000,14.8,admin
1600,1000,33.61,alien
7909,1000,60.09,mario
1647,1000,41.21,yoda
2238,1000,77.12,yoda
3963,1000,39.34,admin
4986,1000,41.09,cat
6527,1000,70.43,mario
5337,1000,29.36,cat
7985,1000,80.14,yoda
1192,1000,75.26,cat
5571,1000,30.91,yoda
5238,1000,41.3,alien
6816,1000,53.29,cat
3671,1000,99.93,alien
7314,1000,58.2,yoda
7832,1000,80.07,cat
5063,1000,67.89,cat
8617,1000,90.21,admin
3416,1000,17.15,yoda
8676,1000,5.62,admin
7263,1000,32.78,yoda
5727,1000,89.09,cat
6091,1000,46.34,mario
5177,1000,54.18,cat
6674,1000,25.38,yoda
3117,1000,48.97,admin
3623,1000,96.55,alien
4614,1000,57.31,admin
2855,1000,31.4,mario
5389,1000,70.34,mario
5618,1000,1.47,alien
3075,1000,20.8,admin
2755,1000,68.34,admin
3519,1000,23.86,admin
9708,1000,57.86,cat
5949,1000,69.81,cat
7022,1000,17.26,mario
1043,1000,84.58,cat
7165,1000,88.16,admin
9625,1000,74.69,mario
1611,1000,76.48,admin
4747,1000,1.38,mario
2461,1000,98.69,yoda
2567,1000,83.32,admin
6899,1000,24.12,cat
8168,1000,55.1,mario
6452,1000,91.69,admin
8808,1000,97.53,cat
6843,1000,88.7,admin
8494,1000,64.78,cat
1083,1000,59.36,cat
7253,1000,77.79,alien
7549,1000,26.49,mario
4842,1000,52.68,admin
9646,1000,12.34,mario
9488,1000,96.89,cat
7840,1000,98.13,admin
9283,1000,11.61,mario
3601,1000,4.81,mario
5549,1000,42.02,mario
5828,1000,14.46,alien
3443,1000,52.95,admin
5480,1000,98.21,alien
4833,1000,15.53,alien
4519,1000,54.32,cat
3979,1000,49.8,alien
3126,1000,49.74,alien
2839,1000,8.52,alien
2546,1000,0.06,alien
8755,1000,8.9,alien
1846,1000,76.32,yoda
2159,1000,34.09,alien
3350,1000,78.83,cat
3384,1000,82.59,admin
8938,1000,17.25,yoda
6928,1000,73.41,cat
5872,1000,44.04,yoda
8517,1000,22.94,yoda
7778,1000,69.14,yoda
6575,1000,80.04,admin
8270,1000,87.67,cat
5232,1000,97.77,admin
3989,1000,7.63,admin
7081,1000,56.72,mario
4072,1000,81.12,alien
8834,1000,92.13,cat
7830,1000,53.55,admin
5981,1000,81.84,admin
3818,1000,37.79,yoda
9577,1000,14.46,alien
8494,1000,46.53,cat
3135,1000,34.52,admin
7976,1000,76.66,admin
6588,1000,8.04,mario
4448,1000,12.02,alien
7058,1000,47.89,yoda
1989,1000,62.02,cat
9071,1000,86.24,admin
5970,1000,8.02,alien
8139,1000,39.03,mario
2225,1000,4.48,admin
3563,1000,6.83,yoda
9956,1000,10.0,cat
3618,1000,47.13,yoda
6275,1000,6.43,alien
6947,1000,97.78,alien
4791,1000,62.52,cat
7407,1000,19.43,alien
1287,1000,24.04,alien
2853,1000,78.98,cat
9991,1000,92.28,cat
4890,1000,21.04,admin
5640,1000,11.01,admin
7669,1000,0.9,mario
4005,1000,64.03,cat
5152,1000,69.54,admin
2253,1000,69.38,yoda
3390,1000,24.38,admin
5024,1000,36.69,yoda
4724,1000,82.24,mario
6578,1000,43.02,alien
6913,1000,51.86,yoda
8629,1000,93.38,yoda
7696,1000,57.38,admin
4937,1000,44.21,yoda
4266,1000,10.93,yoda
6383,1000,45.09,alien
5043,1000,6.04,mario
8884,1000,7.05,cat
4300,1000,23.88,alien
4533,1000,56.14,yoda
9181,1000,16.21,admin
4203,1000,87.11,mario
5057,1000,89.84,yoda
4518,1000,82.07,admin
8248,1000,79.26,mario
1647,1000,3.63,alien
7521,1000,34.94,yoda
4574,1000,95.6,yoda
5722,1000,9.67,mario
2661,1000,51.03,alien
7477,1000,65.97,alien
7421,1000,17.91,admin
9586,1000,44.9,cat
4481,1000,13.36,cat
5480,1000,14.88,alien
9420,1000,49.92,cat
7759,1000,33.33,yoda
4737,1000,37.65,alien
8915,1000,93.35,admin
8168,1000,76.29,yoda
7944,1000,20.55,cat
1884,1000,72.39,yoda
1256,1000,69.48,mario
3404,1000,49.71,alien
3353,1000,90.6,mario
3582,1000,72.85,mario
7977,1000,54.14,mario
6691,1000,55.16,cat
4893,1000,53.37,yoda
9588,1000,53.92,mario
7342,1000,59.47,yoda
7357,1000,86.94,alien
2926,1000,89.77,mario
1538,1000,66.78,yoda
1563,1000,65.33,yoda
